,content,score
0,自从小米出了接线板，家里、单位基本都换小米了，方便实用，品质有保障还不会，特别满意～使用率超级高，插这么多也不会发热,5
1,已经买了第三个了 便宜又好用 绝对是米粉 太喜欢小米的东西了 白白的显得很干净 推荐给身边很多朋友了 有的时候忘记带充电器来单位 随便找根数据线就可以充电 很方便,5
2,入手第一感觉重，说明用材好，插头插上去紧，不会像很多插座松松垮垮的，三脚两脚并重，非常方便，usb用了下也很方便，但充电还是用手机自己接头快。,5
3,小米的做工一如既往的不错啊，也很漂亮，最重要的是非常的实用啊，质量很好，方便手机充电，方便@头，不错不错,5
4,"非常给力 比我想象的好多了！省了不了的插孔 usb非常快 家里老式的插排可以淘汰了,以后家里要用到排插的时候还会考虑这款的！美中不足的是线太短不能自行选购 如果线有5米的就好了！不多说好评 一直以来都相信京东！",5
5,相信小米的品质，这款形状细长，小巧，不占地方，又能插很多插头，USB快充也很好用，很满意！,5
6,小米充电插座可以呀，质量很棒，usb2a快充这一方面已经很不错了。线有一米八左右很合适，京东物流快的很开心！加油,5
7,非常好用，漂亮，六个插孔，三个UBS.小米的插排还是灰漂亮的。灰常推介大家购买。绝对不会后悔的。质量应该超级好。,5
8,功能强大，我表示很好用，就是建议买长一点的线，有可能不够用。线很粗用料很扎实，货真价实，品质值得信赖。,5
9,非常好用的插座，很喜欢啊。一波三折，先买的，结果降价了，申请价保给弄错了，差点退货了。很喜欢这个排插，质量很好，虽然快充不怎么给力，但是设计简洁，黑色经典耐看，真的很棒，好评好评,5
10,质量特别棒，这个设计很好，非常的人性化。老公很喜欢，多次购买。usb接口挺多的。凑字走起，要想打造一个完美深邃的五官，光有修容是不够的，你还需要高光，高光可以使看起来比较死板的妆容，变的有光泽，你的面部就不会显得黯淡扁平,5
11,非常不错，真的。材质，手感超级舒服。虽然只是个插座&hellip;这个感觉摸着让人感到安全感。真的，沉沉的。线不长不短刚刚好，造型精致小巧精致的感觉。喜欢！,5
12,物流很快，收到打开试用，总长1米8够长，三个擦位，三个USB 输出，很方便，还有个电源开关键，挺好用的，支持卖家，给好评，先用一段时间再来追加评论。,5
13,小米的插排很好用 黑色的很酷 有三个usb接口 平时用来充电很方便另外还有三个电源孔 放在床头满足日常的需要 不错 还有单独的电源开关 满意,5
14,"满意回答
质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",5
15,线材不错很好！很粗大 很有感觉 总体用了一个小时 体验还不错 长度够用 ！好评,5
16,买手机什么的都是买的小米的，感觉非常不错，本来想买个充电器的，但是后来想想在家中的，不需要带带走，所以买了一个价格比充电器高一点的插线板，2500W的，挺好，这个插线板是正品，很有分量。,5
17,质量不错，外观也漂亮，使用很方便，特别是充电更方便，真材实料的！,5
18,非常不错的插线板，有好几个US_B口，可以给好几个手机同时充电了。同时还满足了落地台灯等其它用电器的需求。,5
19,漂亮的小米白，颜值控的首选，还没有用就已经很喜欢了！需要下载一个app，就可以手机遥控了！,5
20,不错不错，外观确实是见过的最美的插座，没有之一!简洁大方，将充电器插进去弹簧力度适中。两米的长度，也是设计的很讨巧的，大部分家里用的两米足够了!,5
21,非常非常的满意 超出了我的预期价格又便宜 以后准备再买一个 放在老家 嗯 朋友们看了都觉得挺好的 以后要买就买这个 性价比比较高,5
22,小米的东西一直都很满意，这款插板样子简单看起来很舒服，专门手机充电的usb插头很好用！暂时没有发现其他问题！,5
23,已经用了段时间，没出过问题，感觉还是质量不错，三个usb接口还是很方便，不用天天拔插头了，黑色经脏，希望能用很长时间！,5
24,很不错吧，远程智能控制，电量统计，也可以实时查看电器功率。家里有四个同款了。,5
25,插线板挺沉，看的质量挺好，很早以前就想买了，功能很全。插线板现在智能了，想关闭关闭，想开起开启，这个配置wifi也很简单，操作功能也很简单，app绑定插线板也很简单，总之买这款插线板真值,5
26,效果错的看得挺简洁的物流速度很快的快递员态度也挺好的刚用感觉不错的，用好了还会再来买的！总开关也设计挺好的但是不知道以后这个摁键能不能效果一直好用，管他呢！先用一用再说吧！,5
27,之前买了一个小米插线板，这又买了一个，带usb充电，特别方便，充电也快，很好。之前买了一个小米插线板，这又买了一个，带usb充电，特别方便，充电也快，很好。之前买了一个小米插线板，这又买了一个，带usb充电，特别方便，充电也快，很好。,5
28,不错，做工手感舒适，顺滑，充电速度不错，省了充电头，很完美，不大不小，安全，小米生态链越来越棒了。不错。,5
29,太喜欢京东了，着急用插排，当天晚上就拿到了。质量很好，性价比也高！！没有usb接头我也不怕不怕啦,5
30,包装很不错啊，送货也很快，至于那些说USB充电很慢的人不知道怎么回事。反正我用了几天觉得很好充电速度一点都不慢，一边充一边玩毫无压力。,5
31,功能非常强大，用的非常舒服，对于家庭少插座的用户，非常合适，充手机，插空调，都合适，不过最大电流输出是十安。小米，依然是最具性价比的产品，顶顶。,5
32,小米的配件一直都特别好用，很喜欢，质量很好，做工不错，细节做的很到位，用了一段时间，都没有出什么问题,5
33,不错，外观很好看，最喜欢小米家的简洁设计，因为经常放地上所以选了黑色，很实用，物流也很快，客服也很有耐心，所以完全不用担心什么，总是这是一次很满意的购物经历，下次还会再光顾的～,5
34,"真的好想要
真的受不了
看看你的小蛮腰实在受不了
usb单口2A 日常够用 
颜值爆表哟",5
35,家里的插线板基本都是小米的做工很好，份量十足非常不错，小米国货精品，家里基本都被小米承包了,5
36,用来控制家里的电脑，可以实现远程开关机的。自己在外面控制插座即可，很方便。京东一如既往的优秀。,5
37,很好，没有电流声，电源灯也也非常低调，晚上睡觉也不受影响。因为是放在床边的飘台上，很怕有声音或者电源灯太亮影响睡眠，小米的质量还是很可以的。,5
