,content,score
0,趁活动时候买的，非常划算。做工很好，设计小清新。分控功能是我买它的原因。家里音箱和台灯在一个插座上，音箱不适合长期通电，台灯又经常开，买了这个就解决了实际使用中的问题，大赞！,5
1,很不错的一分二插座，还带开关。高度窄，宽度不超过86型插座的宽度。把电视机和机顶盒一起插上，用开关控制，不用就关上，很方便。而且开关打开后是带灯的，良心。,5
2,线板质量很好，至少看起来很好，白色纯白色颜值也很高，带防护，除了插孔有点少，如果有六个孔就好了，线够长，用起来方便，整体很满意，五星好评，另外，价格也确实贵了点,5
3,挺大的，间隔也大，单控挺好的，送货员服务到位，不方便接电话，提前给送货员发短信说明，送到的时候就放到门岗并且发短信告知，很满意。,5
4,用于电视柜插排：电视机，机顶盒，网络盒子，一个备用手机或者平板充电口，常用单控常开，不常用单控关闭，有单控提示灯，电器全开也不会超负荷，安全便捷，值得推荐！,5
5,"飞利浦就是好。
首先，每个插孔都有独立开关，这样就可以省电，又省去了拔插头的烦恼。
其次，插排四周都是圆滑的，而且很稳固，抗摔。
最后，数据线那块用的也是厚实的绝缘皮。
一分质量一分货，真值，安全第一。",5
6,"飞利浦插座质量好，做工细巧，当晚订购隔天送货上门，快递师傅服务好，防雷电保护插座好产品，接家里电器很安全，很放心，京东活动价很实惠，难得订购到，
好评五星，",5
7,送货非常快，做工精细，颜色纯白好看，四个插口，每个都有控制开关，非常方便，在单位和家里用都是非常好的东西，感谢商家，感谢京东，继续支持。,5
8,大气美观不错。飞利浦虽然是贴牌货，但是质量还是可以的。不错，非常喜欢。又可以节约电了，电视长期插在电源上，会偷偷的走电，有开关了，就好了。,5
9,貮市块抢到的特价年货，质量绝对杠杠哒。做工精细品质过硬。还是大牌子，舍不得用，先留着，好钢要用到刀刃上。,5
10,分控用起来方便，不用都带电，也很安全；每个插口空间都很大，不怕插了大个头的插头，插不下其他插头，美观大方实用。,5
11,插排特别好，用这个插排做梦都想笑，醒来都想用，白天想夜里哭，独立开关很好，用一个爱一个，插排一开就爽，一直开一直爽，爽翻巴适得板，爽到飞起。这是我用过最好的插排爽歪歪，我可以插像空调、电暖器，彩电、音响、游戏机，吹风机，手机，电脑，电煮锅，电饭煲，电磁炉，电动*，电风扇，电动牙刷，电动床，电动三轮车，电动棒等等，反正就爽,5
