,content,score
0,海信的好的好的就觉得经济,3
1,做工比更便宜的飞利浦的差,3
2,京东的快递都圆通来送了,3
3,东西还不错，女朋友很喜欢,3
4,东西不错，价格实惠，值得购买,3
5,有人拆过的，东西还可以,3
6,一直用这个还算好用吧,3
7,性价比一般，用起来还不错,3
8,这个价格的话确实是性价比,3
9,送的礼品，这样也不错了,3
10,鼠标速度很快不好用,3
11,产品跟服务都不错.,3
12,还可以，质感还好,3
13,蛮好用的  很方便,3
14,性价比高，物流速度快，比超市便宜。,3
15,大品牌你值得拥有,3
16,很不错，适合学生用,3
17,物流很快，配送员服务很好，，，，，，，，，，，，,3
18,好用，用料略显简陋,3
19,还算不错！凑合用吧,3
20,还有用过，感觉不错,3
21,看着不想小米的正品,3
22,还可以以，这价格可以了。,3
23,还可以，要能上螺丝就好,3
24,插座还可以，要是可以分控就好了,3
25,东西看着不错，不知道用着怎么样,3
26,方便实用居家必备，推荐,3
27,京东物流就是快一直都选用小米的,3
28,可以，小米的不错的，没话说,3
29,看上去很不错的样子,3
30,还不错，价格不低了,3
31,购买的第三个了！,3
32,开关挺松的，想象中的小米比这个好,3
33,不错 一直买小米插排 第三个了,3
34,超级难插拔，卖相还不错,3
35,用的还不错，电压比较稳,3
36,送的礼物，非常难得。不过能多送点东西更好,3
37,送貨快速，外覌好，又实用,3
38,刚收到，京东快递很给力。产品一般。,3
39,还不错！要是喜欢还是可以买~,3
40,插板还可以，包装也挺好的,3
41,挺好的 就是偶尔有滋滋声,3
42,凑合吧 手机充电倒是挺快,3
43,总体来说还是比较不错的一次购物,3
44,东西还可以问题是&hellip;包装物流&hellip;,3
45,小商品不错，已经买了好几个了！,3
46,帮室友买的，小米插座还是挺好用的,3
47,东西不错！但插孔间距离太近！,3
48,线好短真是真的,3
49,按键特别松动。其他都好！,3
50,总体还可以，开关工艺不行,3
51,用下来效果还可以，应该不错,3
52,小米的插座很好，多次购买，喜欢,3
53,快递可以，货将就,3
54,用了一段时间，感觉还行吧,3
55,挺好的，服务还行吧,3
56,收到了，京东物流真是太好了用后再评价,3
57,做工再好点就完美了,3
58,小米的一贯作风，颜值高，做工差,3
59,很好用 包装完好 速度快,3
60,体积比较小，做工看起来也不错。,3
61,一直用小米线排，感觉线排有过载保护。,3
62,开关不灵敏，充电速度快,3
63,功能很有创意，外观不算精致,3
64,不错的排插，幸好是买了黑色，比较耐脏。,3
65,发货很快，用上看看，不知小米质量如何,3
66,不错，简单大方，哈哈哈哈哈,3
67,还不错，值得考虑。不够最近出了烧掉的新闻。,3
68,不错。外观漂亮，价格还算实惠了，,3
69,到了就用了排插小又有usb接口挺好,3
70,现在看挺高大上的，用用再追评,3
71,还可以，颜值功能都很在线。,3
72,物流很快 插座质量不错 性价比不错,3
73,感觉还可以，感觉质量挺好的。,3
74,好用，再也不用担心没充电头了。,3
75,小米家的东西，性价比高，但线太长啦。,3
76,京东物流就是快一直都选用小米的,3
77,电源开关感觉好松，很山寨的感觉,3
78,非常信任京东，挺好的，有了京东生活都方便了很多,3
79,感觉就是好看点，做工没有公牛的扎实,3
80,感觉设计的是可以考虑安全，但是入闸处很恶心！,3
81,开关按钮是松的，强迫症及完美主义者慎买。,3
82,再次购买，家用足够，工业级还得是公牛,3
83,看起来美观，但比较大，不大实用,3
84,整理还是可以，多少有些小瑕疵。,3
85,东西还没看，先看包装，京东仓库这么暴力随性的嘛,3
86,还挺不错的，比想象的好多了，很值,3
87,实用型的咯！不过价格能便宜二三十块就好了！,3
88,很好 很放心 到货很快 就是有点小划痕,3
89,开关没有阻尼，非常松，其他还不错,3
90,电水壶烧水总是跳闸。手机充电挺实用的。,3
91,收到了，京东物流真是太好了用后再评价,3
92,很重，应该是用料厚实，插口也流畅。,3
93,外包装完全被破坏了，质量方面目前用着还不错,3
94,知我者谓我心忧呀赞赞赞赞赞赞赞，有zi啦的声音。,3
95,这个看起来不错，等用一段时间过来追评,3
96,外观不错，变压器声音太大，温度高,3
97,特别小，或许是因为黑色的。物流很给力,3
98,冲着这个小米的插线板的USB口来的，很不错,3
99,很不错，只是那个开关键是松的，很不爽,3
100,商家发货快    快递服务到位       物品很一般,3
101,除了开关晃动厉害，其他的细节都不错,3
102,目前不错，再观察几天,3
103,使用效果好，价格稍贵,3
104,看来京东快递挺忙的。,3
105,整体物流很快很好，就是不明白为什么这个包装都皱了？二手的？,3
106,不得不说京东的物流还是很给力的，给京东物流和快递小哥点赞,3
107,什么都挺好的 唯独开关看起来跟残次品一样,3
108,一般，还行吧，颜色还可以挺耐看的。,3
109,多次购买，方便实用。,3
110,价格偏高，品质不错。,3
111,USB插口很涩不是很好用。,3
112,看着不错，希望能实用。,3
113,设计的很好看 但因此插孔太紧凑 不实用,3
114,京东的速度还是很快的但里面的包装&hellip;&hellip;我也不想说啥了,3
115,商品十分好，美观实用,3
116,还行，开关摇摇晃晃的感觉随时要坏的样子。,3
117,京东物流就是快一直都选用小米的,3
118,公司统一买的，买了六个，质量还行吧，胜在便宜。。,3
119,还可以 设计不算太好,3
120,还不错,3
121,还行，先用着,3
122,还可以，用起。,3
123,不错,3
124,排插非常松动,3
125,还可以，外观好,3
126,还好，能正常用！,3
127,还不错，可以用,3
128,不好用，双插的插起来非常费劲，三叉还可以,3
129,还行，开关键是歪的。,3
130,很好,3
131,赠品不错,3
132,赠送的，挺强大。,3
133,插排很实用,3
134,商务实用，价格实惠。,3
135,京东物流很给力，第二天就到货了，京东物流小哥服务态度很好。必须赞一个。,3
136,不错的，USB充电还行,3
137,USB接口电流声挺大。,3
138,这次真的挺惊喜的啊?,3
139,感觉质量还可以，用两个月了没发现有什么问题,3
140,这款排插上市好几年了，价格一直没变过，觉得价格偏高，质量挺好的,3
141,看着不错，没用,3
142,好用,3
143,看着挺好,3
144,没有想象的那么好，外表不错，看使用寿命吧,3
145,还好,3
146,比较好,3
147,好评,3
148,还行 插头的部分很紧 我是费了一些力气才插的很进去,3
149,三个USB挂了一个，确实在用  懒得换了   期待京东越做越好！,3
150,还可以哦，配送速度快，挺好用，就是容易发热,3
151,外观不错，插孔比较难插，做工不像大厂代工的,3
152,开关那里很劣质，比公牛差多了，这一点没做好,3
153,外观漂亮，开关松动，插位安全门的质感尤其差,3
154,还行吧，USB插口充电时太爱发热，而且特别烫,3
155,挺小巧，但不用挂墙上。,3
156,还不错，U**充电不怎么快,3
157,还可以，没想象那么hao,3
158,很方便～使用中。,3
159,好用，价高,3
160,好用，物有所值。,3
161,哎哟不错哦！,3
